ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021),continent
SWZ,Eswatini,Medium,SSA,144.0,26.81536,26.81536,26.81536,26.81536,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,24.10655,Africa
SYC,Seychelles,High,SSA,72.0,,,,,,,,,,6.65648,6.65648,6.65648,Africa
TCD,Chad,Low,SSA,190.0,41.86106,41.86106,41.86106,41.86106,41.86106,42.9501,42.9501,42.9501,42.9501,42.9329,42.9329,42.9329,Africa
TGO,Togo,Low,SSA,162.0,38.8745,38.8745,38.8745,38.8745,38.87913,38.87913,38.87913,37.72766,37.72766,37.72766,37.72766,37.72766,Africa
TUN,Tunisia,High,AS,97.0,,,34.57692,34.57692,34.57692,34.57692,34.57692,34.57692,30.70285,30.70285,30.70285,30.70285,Africa
TZA,Tanzania,Low,SSA,160.0,29.5,29.5,28.49972,28.49972,28.49972,28.49972,26.96013,26.96013,26.96013,26.96013,26.96013,26.96013,Africa
UGA,Uganda,Low,SSA,166.0,32.2,29.37211,29.37211,29.37211,29.37211,29.37211,27.91438,27.91438,27.91438,27.91438,27.91438,27.91438,Africa
ZAF,South Africa,High,SSA,109.0,,,16.06077,16.06077,16.06077,14.26559,17.29413,17.29413,17.29413,17.29413,17.29413,17.29413,Africa
ZMB,Zambia,Medium,SSA,154.0,23.76,23.76,23.76,23.76,21.73491,21.73491,21.73491,21.73491,20.43572,20.43572,20.43572,20.43572,Africa
ZWE,Zimbabwe,Medium,SSA,146.0,17.825,17.825,17.825,17.825,17.39521,16.80576,16.80576,16.80576,16.80576,14.60503,14.60503,14.60503,Africa
